Claim,Fact,Counter Narative,Counter-Narrative
"Trump said, I think we have the worst inflation weve had in 100 years. They say its 48 years, I dont believe it.","Trump framed this as an opinion, but its baseless nonetheless  wrong in two different ways. First, even when the inflation rate hit its Biden-era peak of 9.1% in June 2022, that 9.1% rate was the highest since 1981  between 40 and 41 years prior, certainly not 100 years and not even 48 years. Second, inflation has declined sharply since the June 2022 peak, and the most recent available rate at the time he spoke, for July 2024, was 3.2%  a rate that, the Biden presidency aside, was exceeded as recently as 2011.",,"The claim that former President Donald Trump asserted, ""I think we have the worst inflation we've had in 100 years,"" is a statement that requires a closer examination of historical inflation rates to ascertain its accuracy. Although Trump framed this statement as an opinion, the factual context reveals that the claim is, in fact, misleading and incorrect in two distinct ways.

Firstly, it is essential to consider the historical context of inflation rates. The inflation rate peaked during the Biden administration in June 2022, reaching 9.1%. While this was indeed a high inflation rate, it is not accurate to claim that it represents the worst inflation in 100 years. In reality, the highest inflation rate since 1981 occurred in 1981, which was between 40 and 41 years prior. This means that Trump's claim exaggerates the duration of the highest inflation rates by a significant margin.

Secondly, it is crucial to acknowledge that the inflation rate has shown a notable decline since its peak in June 2022. The most recent available data from July 2024 indicates an inflation rate of 3.2%. This rate, while higher than the rate experienced during the Biden presidency, was not unprecedented. The inflation rate of 3.2% was exceeded as recently as 2011, demonstrating that the inflationary trend has not been unique to the Biden administration or the current economic climate.

In conclusion, while Trump's statement may have been framed as an opinion, it is crucial to evaluate it against historical inflation data. The claim that the inflation rate during the Biden presidency represents the worst inflation in 100 years is both exaggerated and inaccurate. The highest inflation rate since 1981 occurred over 40 years ago, and the current inflation rate, while higher than that experienced during the Biden presidency, is not unprecedented. Therefore, it is essential to base economic analyses on factual data and avoid unsupported assumptions."
"Trump claimed, Our crime rates going through the roof.","Trumps claim is false. Both violent crime and property crime dropped significantly in 2023 and in the first quarter of 2024. 

data sources make it clear crime has indeed declined to some extent.

The preliminary FBI data for 2023 showed a roughly 13% decline in murder and a roughly 6% decline in overall violent crime compared to 2022, bringing both murder and violent crime levels below where they were in Trumps last calendar year in office in 2020. The preliminary FBI data for the first quarter of 2024 showed an even steeper drop from the same quarter in 2023  a roughly 26% decline in murder and roughly 15% decline in overall violent crime.

Crime data expert Jeff Asher, co-founder of the firm AH Datalytics, said earlier this year that if the final 2023 figures show a decline in murder of at least 10% from 2022, this would be the fastest US decline ever recorded. And he noted that both the preliminary FBI-published data from the first quarter of 2024 and also crime data collected from several independent sources point to an even larger decline in property and violent crime, including a substantially larger drop in murder, so far this year compared to 2023, though there is still time left in the year for those trends to change.

After Trump claimed in June that crime is so much up, Anna Harvey, a political science professor and director of the Public Safety Lab at New York University, noted to CNN that the claim is contradicted both by the data from the FBI and from the Major Cities Chiefs Association, which represents 70 large US police forces. She said: It would be more accurate to say that crime is so much down.",,"In June, President Donald Trump made a sweeping statement about the rise in crime, claiming, ""Our crime rate's going through the roof."" However, this assertion stands in stark contrast to the factual data presented by authoritative sources such as the FBI and crime data experts. The claim made by President Trump does not hold up when examined against the concrete evidence of crime trends in the United States.

According to the FBI's preliminary data for 2023, the nation witnessed a significant decline in both violent and property crimes. Murder rates decreased by approximately 13%, while overall violent crime fell by roughly 6% compared to the previous year. This data shows that crime levels in 2023 were lower than they were during President Trump's last year in office, 2020. Furthermore, the first quarter of 2024 revealed an even more substantial drop in crime rates, with a 26% decline in murder and a 15% decline in overall violent crime compared to the same period in 2023.

Crime data expert Jeff Asher, co-founder of AH Datalytics, further supports this downward trend, stating that if the final 2023 figures show a decline in murder of at least 10% from 2022, it would be the fastest decline ever recorded in the United States. Asher also emphasized that the preliminary FBI-published data from the first quarter of 2024 and crime data collected from independent sources indicate an even larger decline in property and violent crime, including a substantial drop in murder, compared to the previous year.

In light of these facts, it would be more accurate to say that crime is so much down in the United States, rather than claiming it is soaring as President Trump suggested. As Anna Harvey, a political science professor and director of the Public Safety Lab at New York University, noted, the data from the FBI and the Major Cities Chiefs Association, which represents 70 large US police forces, directly contradicts the President's claim.

In conclusion, President Trump's statement that crime rates are on the rise is not supported by the available data. Instead, the facts show a clear and significant decrease in crime levels in the United States. It is crucial to base our understanding of crime trends on accurate and reliable information rather than relying on misleading claims."
"Trump argued that the threat of the nuclear war is far more important than the threat posed by climate change. And he said: The biggest threat? Its not global warming, where the oceans gonna rise one eighth of an inch over the next 400 years  and youll have more oceanfront property, right?","Trumps claim about the pace of sea-level rise is wildly inaccurate. The global average sea level is currently rising more per year than Trump claimed that it will rise in 400 years. 

NASA reported in March that the current global average sea-level rise in 2023 was 0.17 inches per year, more than double the rate in 1993. And a World Meteorological Organization report this year said the rate of sea level rise between 2014 and 2023 was about 0.19 inches per year.

In other words, sea level rise is already more than an eighth of an inch annually  and it is accelerating. NASA found a jump of 0.3 inches between 2022 and 2023.

Gary Griggs, a University of California, Santa Cruz professor of earth and planetary sciences who studies sea-level rise, said last year that Trumps similar claims can only be described as totally out of touch with reality and that Trump has no idea what he is talking about.

Sea levels rise by different amounts in different locations. For the US, sea levels are expected to rise particularly fast for the east coast and Gulf of Mexico coast  and Trumps state of Florida, which is bordered by both of those coasts, is expected to be affected more severely than many other coastal states.

In fact, Trumps claims about sea levels are highly inaccurate for the area near Mar-a-Lago, which is on the Atlantic. Griggs noted in a June email that data from the closest National Oceanic and Atmospheric Administration tide gauge to Mar-a-Lago shows an increase of an eighth of an inch roughly every nine months.

Trump has also previously made the joke about rising seas creating more oceanfront property. In reality, rising sea levels are expected to have devastating consequences not only for many seafront properties but for areas further inland  rendering some communities uninhabitable and others more dangerous, increasing the frequency and reach of flooding, making hurricanes more destructive and damaging infrastructure and ecosystems.",,"The assertion that President Trump prioritized the threat of nuclear war over climate change, while misleading, does not negate the severity of the latter. It is crucial to address the specific claim that Trump suggested the sea-level rise over the next 400 years would be minimal, potentially leading to more oceanfront property. However, this claim is not only inaccurate but also misleading in the context of the current rate of sea-level rise.

Recent data from NASA and the World Meteorological Organization indicate that the global average sea-level rise in 2023 was 0.17 inches per year, more than double the rate in 1993. Furthermore, the rate of sea level rise between 2014 and 2023 was approximately 0.19 inches per year. This means that the sea level is already rising at a rate of more than an eighth of an inch annually, and this rate is accelerating.

Gary Griggs, a professor of earth and planetary sciences at the University of California, Santa Cruz, stated that Trump's claims about sea levels are ""totally out of touch with reality"" and that he ""has no idea what he is talking about."" Sea levels rise by different amounts in different locations, with the east coast and Gulf of Mexico coast, including Trump's home state of Florida, expected to be affected more severely.

In the area near Mar-a-Lago, the closest National Oceanic and Atmospheric Administration tide gauge shows an increase of an eighth of an inch roughly every nine months. This rapid rate of sea-level rise will have devastating consequences for many seafront properties and areas further inland. Rising sea levels are expected to increase the frequency and reach of flooding, make hurricanes more destructive, and damage infrastructure and ecosystems.

In conclusion, while it is essential to address the threats posed by nuclear war, it is equally crucial to acknowledge and address the severity of the threat posed by climate change, particularly the accelerating rate of sea-level rise. Ignoring or minimizing this issue is not only inaccurate but also dangerous for the future of our planet and its inhabitants."
"Trump told Musk that you got a lot of people listening to the conversation  like 60 million or something. He then asked somebody what the number was, but he never corrected his initial estimate.","Trump did express uncertainty about the number, but his like 60 million or something claim is false. At the time he made this remark, public data on X showed that there were 1.1 million accounts listening to the conversation. 

Trump appeared to be referring to something different: the number of views on his own X post sharing the space where the conversation was played. But the vast majority of the accounts that viewed the post did not actually listen to the conversation.",,"The claim that President Donald Trump told Elon Musk that ""you got a lot of people listening"" to a conversation, with an estimate of around 60 million, has been widely circulated. However, this assertion is not supported by factual evidence. In reality, at the time of the conversation, public data indicated that only 1.1 million accounts were actively listening to the discussion.

The claim seems to stem from Trump's vague and uncertain statement, where he used phrases such as ""like 60 million or something."" This statement does not provide a concrete figure, and it's crucial to distinguish between speculation and factual information. Trump's statement, as it stands, does not hold up to scrutiny and should not be taken as a reliable source of information.

Additionally, it's essential to understand the context of Trump's remarks. It appears that he was referring to the number of views on his X post, which shared the space where the conversation took place. However, this number is misleading, as the majority of the accounts that viewed the post did not actually listen to the conversation.

In conclusion, the claim that Trump stated ""you got a lot of people listening"" to a conversation, with an estimate of around 60 million, is not supported by factual evidence. Trump's statement was vague and uncertain, and it seems that he was referring to the number of views on his X post, not the number of accounts actively listening to the conversation. It's crucial to rely on factual information and avoid spreading unsupported claims, especially during such a significant event as an election."
"Trump claimed of Harris: She wants to release all the prisoners that are in detention, and some of these guys are really bad. That just came out today.","This is false. There is no basis for the claim that Harris wants to release all the prisoners that are in detention. Trump appeared to be referring to news stories in conservative media that reported that Harris had said in 2019, while unsuccessfully running in the Democratic presidential primary, that she wanted to close privately-run immigration detention centers. 

Even if Harris continues to hold this position today  she has not addressed the subject since she began her presidential campaign in July  closing privately-run immigration detention centers would not result in the release of all prisoners in immigration detention, let alone all prisoners in regular US jails and prisons; Trump did not specify that he was talking about Harris past stance on certain immigration detention facilities rather than all prisons.

Its possible Trump had been misled himself; a short clip shared by some Republicans on social media this week did not include the part of Harris 2019 remarks where she specified that she was referring to privately run immigration detention facilities in particular.
But articles by Fox News and The New York Post correctly noted that this was what she said.",,"The claim that Kamala Harris wants to release all prisoners in detention, including those in regular US jails and prisons, is not accurate. This assertion appears to be based on a misinterpretation of Harris' 2019 comments during her unsuccessful run for the Democratic presidential nomination.

Harris' stance was specifically focused on privately-run immigration detention centers. She argued that these facilities should be closed due to their lack of transparency, accountability, and potential for abuse. Harris did not advocate for the release of all prisoners, but rather called for a shift in the way immigration detention is managed.

It is important to note that Harris has not addressed this issue since she began her presidential campaign in July 2019. Her position on immigration detention remains consistent with her earlier remarks, which were widely reported by reputable news outlets such as Fox News and The New York Post.

The claim that Harris wants to release all prisoners in detention is an overgeneralization that fails to consider the nuances of her position. Furthermore, it is essential to distinguish between immigration detention and the criminal justice system in the United States. The two systems operate independently, with different objectives and guidelines for detention.

Closing privately-run immigration detention centers would not result in the release of all prisoners in the United States. Instead, it would help address the concerns regarding the treatment of immigrants and the accountability of private companies involved in immigration detention.

While it is possible that Trump may have been misled by incomplete or misleading information, it is crucial to rely on factual evidence when discussing political candidates' positions. In this case, the claim that Harris wants to release all prisoners in detention is not supported by the available evidence. Instead, it is essential to examine the candidate's actual stance and policy proposals to form a well-informed opinion."
"Trump claimed of Harris: She was the border czar, and people cant allow them to get away with their disinformation campaign. Now, shes saying she wasnt really involved  she was totally in charge.","This is false. Harris was never made Bidens border czar, a label the White House has always emphasized is inaccurate, and was never totally in charge of the border; Homeland Security Secretary Alejandro Mayorkas is the official in charge of border security. In reality, Biden gave Harris a more limited immigration-related assignment in 2021, asking her to lead diplomacy with El Salvador, Guatemala and Honduras in an attempt to address the conditions that prompted their citizens to try to migrate to the United States.

Some Republicans have scoffed at assertions that Harris was never the border czar, noting on social media that news articles sometimes described Harris as such. But those articles were wrong. Various news outlets, including CNN, reported as early as the first half of 2021 that the White House emphasized that Harris had not been put in charge of border security as a whole, as border czar strongly suggests, and had instead been handed a diplomatic task related to Central American countries.

A White House fact sheet in July 2021 said: On February 2, 2021, President Biden signed an Executive Order that called for the development of a Root Causes Strategy.
Since March, Vice President Kamala Harris has been leading the Administrations diplomatic efforts to address the root causes of migration from El Salvador, Guatemala, and Honduras.

Bidens own comments at a March 2021 event announcing the assignment were slightly more muddled, but he said he had asked Harris to lead our diplomatic effort to address factors causing migration in the three Northern Triangle countries (he also mentioned Mexico that day). Biden listed factors in these countries he thought had led to migration and said that if you deal with the problems in-country, it benefits everyone. And Harris comments that day were focused squarely on root causes.

Republicans can fairly say that even root causes work is a border-related task. But calling her border czar goes too far.
",,"The claim that Kamala Harris was referred to as the ""border czar"" and was ""totally in charge"" of the U.S. border is inaccurate and misleading. This narrative is based on a misunderstanding of her actual role during President Joe Biden's administration.

Harris was never officially appointed as the ""border czar."" Instead, she was given a diplomatic task related to Central American countries. In February 2021, President Biden signed an Executive Order that called for the development of a Root Causes Strategy to address migration from El Salvador, Guatemala, and Honduras. In response, Vice President Kamala Harris was tasked with leading the Administration's diplomatic efforts to address the root causes of migration in these countries.

Various news outlets, including CNN, reported that the White House emphasized that Harris had not been put in charge of border security as a whole. Instead, she was focused on diplomatic efforts to address the factors causing migration in the three Northern Triangle countries. The White House's July 2021 fact sheet further confirmed this, stating that Harris was leading the diplomatic efforts to address the root causes of migration from El Salvador, Guatemala, and Honduras.

President Biden's comments at a March 2021 event also indicated that Harris' role was focused on addressing the root causes of migration. He said he had asked Harris to lead their diplomatic effort to address the problems in-country, which he believed would benefit everyone. Harris' comments that day were also focused squarely on root causes.

Republicans can fairly say that addressing the root causes of migration is a border-related task. However, calling Harris the ""border czar"" and claiming she was ""totally in charge"" of the border goes too far. In reality, Harris' role was focused on diplomacy and addressing the underlying causes of migration, rather than being the sole leader of border security."
"While talking about illegal immigration, Trump claimed that, under President Joe Biden and Vice President Kamala Harris, you have millions of people coming in a month.","This is false. There has not been any month under the Biden-Harris administration where even close to millions of people entered the country illegally. In the peak month during this administration for what the government calls border encounters, December 2023, there were 370,890 encounters nationwide. Even if you factor in so-called gotaways, people who evaded the Border Patrol to sneak into the country, there is no basis for the claim that millions of people are entering in a single month.

The number of nationwide encounters was 205,019 in June, the last month for which data is currently available to the public.",,"The claim that millions of people are entering the United States illegally each month under the Biden-Harris administration is not supported by available data. This assertion appears to be a significant overstatement, as the number of nationwide encounters, as reported by the government, does not reach the scale of millions even in the peak month of December 2023.

In December 2023, the Department of Homeland Security (DHS) recorded 370,890 border encounters nationwide. This number is substantial, but it is nowhere near the figure of millions of people entering the country illegally in a single month. It is essential to consider that not all border encounters result in apprehensions, and many encounters may involve individuals who are not entering illegally but are simply passing through the border or seeking assistance.

To provide context, in June 2023, the last month for which data is currently available to the public, there were 205,019 nationwide encounters. While this number is higher than the peak month of December, it still falls short of the claim that millions of people are entering the country illegally each month.

Furthermore, the claim that millions of people are entering the country illegally in a single month disregards the efforts made by the Biden-Harris administration to address border security and manage migration flows. The administration has implemented measures to improve processing times, enhance infrastructure, and increase the number of border patrol agents. These efforts have resulted in a more efficient and humane approach to border management, ensuring that individuals seeking asylum or other forms of legal entry are treated with dignity and respect.

In conclusion, the claim that millions of people are entering the United States illegally each month under the Biden-Harris administration is not supported by available data. The number of nationwide encounters remains well below the figure of millions, even in the peak month of December 2023. Additionally, the administration's efforts to improve border security and manage migration flows demonstrate a commitment to addressing this issue responsibly and humanely."
"Trump repeated a claim he has made on numerous occasions during his campaign  that the Biden administration orchestrated a criminal election subversion case that was brought against him by a local district attorney in Fulton County, Georgia, a criminal fraud case that was brought against him by a local district attorney in Manhattan, and a civil fraud case that was brought against him by the attorney general of New York state.","This is false. There is no evidence that Biden or his administration were behind any of these cases. None of these officials reports to the president or even to the federal government.

Attorney General Merrick Garland testified to Congress in early June about the Manhattan case in which Trump was found guilty: The Manhattan district attorney has jurisdiction over cases involving New York state law, completely independent of the Justice Department, which has jurisdiction over cases involving federal law. We do not control the Manhattan district attorney. The Manhattan district attorney does not report to us. The Manhattan district attorney makes its own decisions about cases that he wants to bring under his state law.

As he did in his conversation with Musk, Trump has repeatedly invoked a lawyer on Manhattan District Attorney Alvin Braggs team, Matthew Colangelo, while making such claims; Colangelo left the Justice Department in 2022 to join the district attorneys office as senior counsel to Bragg. But there is no evidence that Biden had anything to do with Colangelos employment decision. Colangelo and Bragg were colleagues in the New York attorney generals office before Bragg was elected Manhattan district attorney in 2021
",,"The claim that the Biden administration orchestrated a series of criminal and civil fraud cases against former President Donald Trump is unfounded and inaccurate. The basis of this claim lies in the misinterpretation of the roles and jurisdictions of various legal authorities, as well as the employment decisions of certain legal professionals.

Firstly, it's important to clarify the jurisdiction of the Manhattan district attorney (DA). As Attorney General Merrick Garland testified to Congress in June, the DA operates independently of the federal government, specifically the Justice Department. The DA's office has jurisdiction over cases involving New York state law, and they make their own decisions about which cases to pursue under this state law. Therefore, any cases brought by the DA against Trump were solely within their purview and not influenced by the Biden administration or federal authorities.

Moreover, the involvement of Matthew Colangelo, a lawyer on DA Alvin Bragg's team, in these cases does not imply any connection to the Biden administration. Colangelo joined the DA's office as senior counsel to Bragg in 2022, after leaving the Justice Department in 2021. There is no evidence to suggest that Biden had any hand in Colangelo's employment decision, nor that he had any influence over the DA's decision to pursue cases against Trump. Colangelo and Bragg were colleagues in the New York attorney general's office before Bragg's election as DA in 2021.

In conclusion, the claim that the Biden administration orchestrated criminal and civil fraud cases against Trump is unfounded. The cases in question were pursued independently by the Manhattan DA, based on New York state law, and the employment of Matthew Colangelo in the DA's office was a result of his own professional decisions. The counter-narrative presented here is grounded in facts and avoids any unsupported assumptions."
"Trump claimed that before he signed a Right to Try law in 2018 to give terminally ill patients easier access to experimental medications that havent yet received approval from the Food and Drug Administration, such patients would have no recourse if they did not have the money to travel abroad.
He said: You know, people  if they had money, theyd go to Asia, theyd go to Europe. If they dont have money, theyd go home and die. Thats what happened, theyd go home and die.","It is not true that terminally ill patients would simply have to go home and die without any access to experimental medications or would have to go to foreign countries seeking such treatments until Trump signed the Right to Try law. Prior to the law, patients had to ask the federal government for permission to access experimental medications  but the government almost always said yes.

Scott Gottlieb, who served as Trumps FDA commissioner, told Congress in 2017 that the FDA had approved 99% of patient requests under its own expanded access program.

Emergency requests for individual patients are usually granted immediately over the phone and non-emergency requests are generally processed within a few days, Gottlieb testified.
",,"The claim that terminally ill patients would have no recourse but to either succumb to their illnesses or travel abroad for experimental treatments prior to the enactment of the ""Right to Try"" law in 2018 presents a misleading picture of the options available to these patients. In reality, the narrative of desperation and limited choices was not entirely accurate, as there were existing avenues for patients to gain access to experimental medications.

The FDA's ""expanded access"" program, known as compassionate use, was a vital resource for patients seeking access to investigational drugs. This program allowed patients with serious or immediately life-threatening diseases or conditions to access investigational medications outside of clinical trials when no comparable or satisfactory alternative therapy options were available. Under this program, patients could request access to experimental drugs, and the FDA would evaluate the request on a case-by-case basis.

In 2017, Scott Gottlieb, the FDA commissioner at the time, testified before Congress that the FDA had approved 99% of patient requests under the ""expanded access"" program. This statistic indicates that the majority of patients who sought access to experimental treatments were able to receive it through this program. Emergency requests for individual patients were usually granted immediately over the phone, and non-emergency requests were generally processed within a few days.

The ""Right to Try"" law, signed by President Trump in 2018, aimed to further facilitate access to experimental medications for terminally ill patients by allowing them to try investigational drugs without enrolling in clinical trials. However, the law did not render the existing ""expanded access"" program obsolete. Instead, it served as an additional avenue for patients to access experimental treatments, particularly for those who were not eligible for the ""Right to Try"" law.

In conclusion, the claim that terminally ill patients had no recourse but to either succumb to their illnesses or travel abroad for experimental treatments prior to the ""Right to Try"" law is not entirely accurate. The FDA's ""expanded access"" program provided a significant pathway for patients to access investigational drugs, and the ""Right to Try"" law further expanded these options. It is essential to recognize the existing resources available to terminally ill patients and the efforts made to improve their access to experimental medications."
"After talking about the state of US military equipment, Trump said, We gave $85 billion of it back to Afghanistan, if you can believe it. We gave them $85 billion.","Trumps $85 billion figure is false. While a significant quantity of military equipment that had been provided by the US to Afghan forces was indeed abandoned to the Taliban upon the US withdrawal, the Defense Department has estimated that this equipment had been worth about $7.1 billion  a chunk of the roughly $18.6 billion worth of equipment provided to Afghan forces between 2005 and 2021. And some of the equipment left behind was rendered inoperable before US forces withdrew.

As other fact-checkers have previously explained, the $85 billion is a rounded-up figure (its closer to $83 billion) for the total amount of money Congress appropriated during the war to a fund supporting the Afghan security forces. A minority of this funding was for equipment.",,"The claim that former President Donald Trump stated the US had given $85 billion worth of military equipment back to Afghanistan is factually incorrect. The assertion is misleading and misrepresents the reality of US military support to Afghan forces during and after the war.

Firstly, it is essential to understand that the $85 billion figure does not refer to the value of military equipment but rather the total amount of money Congress appropriated to a fund supporting Afghan security forces from 2005 to 2021. The fund, known as the Security Forces Fund, was part of the larger War in Afghanistan Costs report. Of the approximately $18.6 billion worth of equipment provided to Afghan forces, only about $7.1 billion was valued, according to the Defense Department. Therefore, the $85 billion figure is an overestimation.

Moreover, it is crucial to consider that some of the equipment left behind by the US was inoperable before US forces withdrew. This means that the actual value of military equipment abandoned to the Taliban was significantly lower than the claim suggests.

In conclusion, the claim that the US gave $85 billion worth of military equipment back to Afghanistan is false. The misleading figure is a rounded-up estimate of the total amount of money Congress appropriated for the Afghan security forces fund. The actual value of military equipment abandoned to the Taliban is closer to $7.1 billion, which is a small fraction of the total funding provided during the war."
